City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,tuatapere,-46.1333,167.6833,12.55,70,80,2.39,NZ,1678437088
288,terney,45.0503,136.6092,-1.27,86,94,1.84,RU,1678437440
289,santiago del estero,-27.7951,-64.2615,23.54,72,26,3.0,AR,1678437212
290,port blair,11.6667,92.75,28.61,64,95,5.99,IN,1678437441
291,berlevag,70.8578,29.0864,-8.0,67,20,6.69,NO,1678437442
292,beringovskiy,63.05,179.3167,-2.84,96,100,2.5,RU,1678437443
293,provideniya,64.3833,-173.3,-10.14,97,83,1.45,RU,1678437444
294,elizabeth city,36.2946,-76.2511,6.01,92,0,0.0,US,1678437445
295,gumdag,39.2061,54.5906,15.43,71,96,5.65,TM,1678437446
296,rocha,-34.4833,-54.3333,16.81,96,76,2.77,UY,1678437447
297,madang,-5.2246,145.7966,26.39,81,99,1.01,PG,1678437034
298,sao joao da barra,-21.6403,-41.0511,23.75,89,100,5.37,BR,1678437448
299,padang,-0.9492,100.3543,26.03,85,79,1.49,ID,1678437449
300,manggar,-2.8833,108.2667,28.32,69,34,0.76,ID,1678437450
301,ariquemes,-9.9133,-63.0408,21.91,99,100,0.59,BR,1678437451
302,neiafu,-18.65,-173.9833,27.03,76,100,8.81,TO,1678437452
303,nabire,-3.3667,135.4833,27.41,81,80,1.29,ID,1678437452
304,mamburao,13.25,120.6667,27.53,60,45,0.4,PH,1678437453
305,kutum,14.2,24.6667,25.79,10,27,6.61,SD,1678437454
306,huejuquilla el alto,22.6,-103.8667,13.54,49,100,0.44,MX,1678437455
307,uyo,5.0333,7.9266,31.14,58,28,1.32,NG,1678437456
308,wagar,16.1525,36.2032,29.7,26,11,6.48,SD,1678437456
309,killybegs,54.6333,-8.45,-0.16,75,20,1.12,IE,1678437457
310,camalu,30.85,-116.0667,12.39,85,24,2.78,MX,1678437458
311,ossora,59.2353,163.0719,-14.83,91,100,2.33,RU,1678437194
312,denpasar,-8.65,115.2167,31.81,66,40,3.6,ID,1678437460
313,erzin,36.9559,36.2,16.76,67,36,3.15,TR,1678437461
314,shirokiy,49.758,129.523,-1.93,86,100,10.13,RU,1678437462
315,mazatlan,23.2167,-106.4167,18.84,89,100,1.31,MX,1678437368
316,emerald,-23.5333,148.1667,28.38,70,98,5.92,AU,1678436899
317,sokolovo,52.5318,84.7896,0.64,73,53,1.83,RU,1678437464
318,omboue,-1.5746,9.2618,27.14,76,100,4.7,GA,1678437464
319,burgeo,47.6167,-57.6152,-1.6,75,100,6.53,CA,1678437465
320,richards bay,-28.783,32.0377,27.89,74,30,2.35,ZA,1678437291
321,longyan,25.1072,117.0225,26.1,26,0,2.74,CN,1678437467
322,kisangani,0.5167,25.2,27.73,61,100,1.89,CD,1678437468
323,zhuhai,22.2769,113.5678,25.88,64,0,4.12,CN,1678437463
324,jinchang,38.4953,102.1739,8.97,22,77,8.68,CN,1678437470
325,dingle,10.9995,122.6711,27.04,69,2,4.48,PH,1678437470
326,nanortalik,60.1432,-45.2371,-2.82,76,91,4.39,GL,1678437471
327,nantucket,41.2835,-70.0995,2.3,87,0,4.63,US,1678437472
328,taber,49.8167,-112.1518,-10.09,92,12,7.2,CA,1678437472
329,bow island,49.8668,-111.3684,-12.84,78,28,8.75,CA,1678437473
330,manta,-0.95,-80.7333,23.88,94,75,0.0,EC,1678437474
331,okha,53.5739,142.9478,-11.16,96,67,1.93,RU,1678437475
332,havelock,34.8791,-76.9013,12.74,90,99,1.23,US,1678437475
333,kurchum,48.5722,83.6542,-1.48,61,3,1.75,KZ,1678437476
334,cidreira,-30.1811,-50.2056,23.74,90,2,3.37,BR,1678437477
335,port macquarie,-31.4333,152.9167,23.27,67,12,5.2,AU,1678437478
